TIME,CLOCK,DATA1,DATA2,DATA3,DATA4
00.252,0,0,0,0,0
00.504,1,0,0,0,0
00.756,0,0,0,0,0
01.010,1,0,0,0,0
01.262,0,0,0,0,0
01.515,1,0,0,0,0
01.793,0,0,0,0,0
02.045,1,0,0,0,0
02.297,0,0,0,0,0
02.548,1,0,0,0,0
02.801,0,0,0,0,0
03.059,1,0,0,0,0
03.312,0,0,0,0,0
03.564,1,0,0,0,0
03.816,0,0,0,0,0
04.068,1,0,0,0,0
04.320,0,0,0,0,0
